"","name","agent_response","agent_rating","photo","trial_gender"
"40","Devon","I see happiness from different aspects of life",31,1,"male"
"41","Dustin","Too messy. Just looks like a mess of dark colors.",-20,1,"male"
"42","Dylan","I love the warm colors of the art",32,1,"male"
"43","Edward","That one piece in the middle gives it depth and it's really neat",21,1,"male"
"44","Elijah","Makes me feel confused",-6,1,"male"
"45","Eric","I like the way that the colors blend.",35,1,"male"
"46","Ethan","This piece feels soft and romantic to me. I do not care for so much orange though.",3,1,"male"
"47","Evan","It is beautiful, I really enjoy the colors",32,1,"male"
"48","Gabriel","this ones alright",10,1,"male"
"49","Garrett","I think that this picture has nice colors and its pleasing to the eyes.",20,1,"male"
"50","Grant","The use of reds, blues, and yellows together reminds me of fire. Very interesting to look at.",40,1,"male"
"51","Gregory","Looks like just a bunch of colors with no real point",-5,1,"male"
"52","Hunter","muddy and uninteresting",-16,1,"male"
"53","Ian","Someone painted a landscape and decided they didn't like it so they covered it up.",13,1,"male"
"54","Isaac","The colors are a little too intense.",1,1,"male"
"55","Isaiah","I feel relaxed, like I'm watching the leaves change color.",17,1,"male"
"56","Jack","beautiful colors and brush strokes",47,1,"male"
"57","Jacob","Looks like the same thing as the last piece shown to me",10,1,"male"
"58","Jake","This is ugly with bad colors.",-6,1,"male"
"59","James","It's very colorful, and I like it",11,1,"male"
"60","Jared","there isnt anything clear to look at",-2,1,"male"
"61","Jason","Interesting blend of colors",9,1,"male"
"62","Jeffrey","Makes me warm and relaxed",38,1,"male"
"63","Jeremy","fearful. Makes me think of fire",-10,1,"male"
"64","Jesse","Im not a fan of the bluriness",-18,1,"male"
"65","Jesus","I like the simple aspect to the design",21,1,"male"
"66","John","Its okay,not great.",1,1,"male"
"67","Jonathan","I love the colors but it's too intense sometimes",22,1,"male"
"68","Jordan","I like the warmth of the picture",21,1,"male"
"69","Jorge","fishing on the lake surrounded by trees",42,1,"male"
"70","Jose","Blurry but that's how emotions are a lot of the time.",27,1,"male"
"71","Joseph","Happy! Reminds me of hiking in tennesee.",18,1,"male"
"72","Joshua","Reminds me of fall.",7,1,"male"
"73","Juan","I don't like how this one makes me feel.",-32,1,"male"
"74","Justin","It reminds me of a sunset I once saw.",16,1,"male"
"75","Kenneth","I love colorful photos and I like this one a lot.",25,1,"male"
"76","Kevin","I cant make anything of this one.",-7,1,"male"
"77","Kyle","Too similar to some of the other pieces",-18,1,"male"
"78","Logan","looks like an earlier painting. I wish I gave it -20 but oh well",21,1,"male"
"79","Lucas","The colors match and create a nice artistic disorder.",20,1,"male"
"80","Luis","I love the calming comfort and safe feeling of this",50,1,"male"
"81","Luke","it is very colorful and makes me happy",44,1,"male"
"82","Malik","Vague and directionless",-14,1,"male"
"83","Marcus","Like the colors very much, and this piece makes me feel peaceful.",29,1,"male"
"84","Mark","It just doesn't speak to me.",0,1,"male"
"85","Mason","just colors mixed together. not interesting.",5,1,"male"
"86","Matthew","More passable, colorful, abstract.",13,1,"male"
"87","Michael","Just a mess though a better mess than some others.",-11,1,"male"
"88","Miguel","Doesn't represent anything in particular.",-47,1,"male"
"89","Mitchell","confused,animal like brain fog",0,1,"male"
"90","Nathan","Not a fan of the mood, overly party-ish and bright colors do not suit my taste",-40,1,"male"
"91","Nathaniel","A bit of a smokey mess, but it does have an air of mystery I like",7,1,"male"
"92","Nicholas","Love the colors but it makes me feel like someone is looking at me through it",38,1,"male"
"93","Noah","the bright colours evoke the 90s, and not their best part",-10,1,"male"
"94","Patrick","I feel uneasy looking at this",-41,1,"male"
"95","Paul","I like the yellow and purple but the large red spot reminds me of blood and isn't great",6,1,"male"
"96","Peter","Nothing whatsoever",2,1,"male"
"97","Richard","nice piece, fall like",31,1,"male"
"98","Robert","Pretty colors. Fall day in the East Coast of USA.",42,1,"male"
"99","Ryan","Seems like one i previously saw in this survey",27,1,"male"
"100","Samuel","feels like there is meaning",9,1,"male"
"101","Scott","good colors and contrast",31,1,"male"
"102","Sean","my reaction is that the picture is that Ive seen it before",-14,1,"male"
"103","Seth","Might be a person rowing their boat across the lake. Not sure if the background is trees or not.",12,1,"male"
"104","Shane","Warmth of the sun",22,1,"male"
"105","Shawn","Powerful colors.",31,1,"male"
"106","Spencer","Pretty intermeshing of colors, happy",32,1,"male"
"107","Stephen","Nothing really going on but good color choices.",-3,1,"male"
"108","Steven","It's fine, but its like something you'd see in the restroom of a cheap restaurant",10,1,"male"
"109","Tanner","river, fall, cozy, warm",12,1,"male"
"110","Taylor","Deja vu. Haven't I seen this one before? Not bad for those living in the backwoods.",10,1,"male"
"111","Thomas","Pleasant, but a tad too monochromatic in some areas for my taste",7,1,"male"
"112","Timothy","This one has a pleasent energy",15,1,"male"
"113","Travis","I didn't like this too much...I didn't like the red and the jaggedness to it.",-29,1,"male"
"114","Trevor","nice colors but kinds of blah",1,1,"male"
"115","Tristan","Unpleasing palette. I see a figure but it seems incongrous to the highly abstract background.",-20,1,"male"
"116","Tyler","This looks like the same artist as the first picture, but cropped? Looks incomplete.",28,1,"male"
"117","Victor","I like the colors and layers",25,1,"male"
"118","Vincent","I love the detail and colors like a beautiful autumn day",35,1,"male"
"119","William","love how the colors blend",42,1,"male"
"120","Zachary","While I like the colors, I find nothing interesting or thought provoking about it.",10,1,"male"
"121","Aaron","The colors are pretty but I don't really like the shapes in it.",-20,2,"male"
"122","Adam","Hate the vomit green.",-31,2,"male"
"123","Adrian","Not a fan of the colors or the style.",-31,2,"male"
"124","Alejandro","Looks contrived and like someone tried to hard to make it abstract",-31,2,"male"
"125","Alex","Don't like the puke green color and also too abstact",-14,2,"male"
"126","Alexander","Old, dull, messy.",-10,2,"male"
"127","Alexis","The people look blurred together",-21,2,"male"
"128","Andrew","Doesn't give me a reaction",10,2,"male"
"129","Angel","I think I'm put off by the clashing colors here. It feels discombobulated and sick.",-10,2,"male"
"130","Anthony","Ugly color scheme",-50,2,"male"
"131","Antonio","Colors are drab and cause a sense of blandness",-28,2,"male"
"132","Austin","Good color pallette",12,2,"male"
"133","Benjamin","bright and happy",20,2,"male"
"134","Blake","ugly green color and makes me sick",-29,2,"male"
"135","Bradley","I'm not fond of the colors in this one.",-33,2,"male"
"136","Brandon","Do not like this type of abstract work",-50,2,"male"
"137","Brendan","its ugly af to be honest",-50,2,"male"
"138","Brett","Not very appealing",-5,2,"male"
"139","Brian","I like how it looks like a cute smiling face",43,2,"male"
"140","Bryan","Like the colors but reminds me of a kids show done in cubism.",0,2,"male"
"141","Bryce","I love the colors in this.",29,2,"male"
"142","Caleb","Very gross colors. What were they thinking?",-47,2,"male"
"143","Cameron","Ugly version of that park painting.",-31,2,"male"
"144","Carlos","The colors are soothing, but the composition feels thoughtless.",-11,2,"male"
"145","Charles","I like the green",13,2,"male"
"146","Chase","A bit ugly with the greens.",-20,2,"male"
"147","Christian","do not understand",-21,2,"male"
"148","Christopher","nope. just looks like a mess",-28,2,"male"
"149","Cody","Don't love the colors",-30,2,"male"
"150","Cole","Childish smiley face",-19,2,"male"
"151","Colton","too blocky and don't like color combination",-32,2,"male"
"152","Connor","There is an odd face here that is creepy",-4,2,"male"
"153","Corey","doesn't do anything for me",-7,2,"male"
"154","Dakota","active and kinetic- simplified",14,2,"male"
"155","Dalton","i like the colors and again can make out my own picture",38,2,"male"
"156","Daniel","Colors and space work but the top scribbled killed it.",11,2,"male"
"157","David","I feel that its too abstract for me to understand what I'm looking at.",-15,2,"male"
"158","Derek","Not my favorite but I can see this being hung in a art museum",25,2,"male"
"159","Devin","I don't really like this style",-5,2,"male"
"160","Devon","another confusing piece of art",-12,2,"male"
"161","Dustin","Doesn't look like anything. Just a blob of colors.",1,2,"male"
"162","Dylan","This is ugly- too plain and busy at the same time",-9,2,"male"
"163","Edward","My immediate reaction was it looked like a class but then I saw a smile in the middle",11,2,"male"
"164","Elijah","It's just a splash of paint on a canvas",-31,2,"male"
"165","Eric","I like the color, but I feel like I see a creepy face which I dislike.",-5,2,"male"
"166","Ethan","This looks like a professional abstract drawing. I like the shapes.",7,2,"male"
"167","Evan","I feel bothered by the dark and dingy choice of colors",-22,2,"male"
"168","Gabriel","i dont like it, no thank you",-28,2,"male"
"169","Garrett","I like this picture a little because the colors make it look a little vibrant.",10,2,"male"
"170","Grant","The colors are entirely unappealing and very unpleasant to look at.",-20,2,"male"
"171","Gregory","Awful color coordination and design",-35,2,"male"
"172","Hunter","appealing colors",4,2,"male"
"173","Ian","I don't really like this but at the same time it's cute. It looks like a little monster kid.",-9,2,"male"
"174","Isaac","Not sure what is happening. I'm not a big fan of the colors but they don't bother me either.",1,2,"male"
"175","Isaiah","I feel claustrophobic. I'm looking at a busy shop, but the simple shapes and continuous colors make it hectic.",-8,2,"male"
"176","Jack","the colors are a bit odd, and the squiggly line at the top is distracting",0,2,"male"
"177","Jacob","I don't get the meaning of this piece either.",-13,2,"male"
"178","Jake","These colors are ugly.",-40,2,"male"
"179","James","The only parts I like is the light blue, red and black. The green color isn't very flattering.",11,2,"male"
"180","Jared","looks like a happy child",15,2,"male"
"181","Jason","Too jumbled and disorienting",-13,2,"male"
"182","Jeffrey","positive, seems like someone really happy and colourful is looking at me",22,2,"male"
"183","Jeremy","Unhappy. I do not like it",-5,2,"male"
"184","Jesse","Looks childish and i dont like the texture",-25,2,"male"
"185","Jesus","Muted green is overpowering",-10,2,"male"
"186","John","Its meh. Doesnt illicit any strong feelings in me",1,2,"male"
"187","Jonathan","It's a cool piece but honestly these color choices are the worst thing in the world",-31,2,"male"
"188","Jordan","Reminds me of my baby brother",11,2,"male"
"189","Jorge","Confused and disoriented",-33,2,"male"
"190","Jose","The color combo is kind of ugly but there's something charming about it still",17,2,"male"
"191","Joseph","Different cultures. I like that it brings differences together.",4,2,"male"
"192","Joshua","Looks like child's art.",-19,2,"male"
"193","Juan","I don't like the abstract nature of this painting or the colors used.",-50,2,"male"
"194","Justin","This one feels rather flat and not engaging.",-15,2,"male"
"195","Kenneth","I cant tell whats happening here and that shade of green is just not my thing.",-17,2,"male"
"196","Kevin","That looks look a cartoon character of some kind.",11,2,"male"
"197","Kyle","Color picks are a bad mesh with each other",-17,2,"male"
"198","Logan","omg she's so cute look at that little smile those eyelashes ugh love it",30,2,"male"
"199","Lucas","Colorful, curious.",20,2,"male"
"200","Luis","I dont like the expression of this",-19,2,"male"
"201","Luke","too abstract and confusing",-19,2,"male"
"202","Malik","Indistinct and too bright",-21,2,"male"
"203","Marcus","Only like the blues and teals in this. The rest is unappealing.",-15,2,"male"
"204","Mark","It feels like a party and Moulin Rouge.",20,2,"male"
"205","Mason","retro, amateurish, not a fan of the colors together.",-10,2,"male"
"206","Matthew","I think I can make out a face in there.",25,2,"male"
"207","Michael","Random colors and shapes mashed together. Nothing artistic, but better than some of the other ones.",-37,2,"male"
"208","Miguel","7 year old painted?",-35,2,"male"
"209","Mitchell","Dependence. Things relying on each other. Caring",-4,2,"male"
"210","Nathan","Not a fan of this style",-30,2,"male"
"211","Nathaniel","Too gloopy and unfocused",-38,2,"male"
"212","Nicholas","Cute and happy",22,2,"male"
"213","Noah","again, I struggle to see the art and I dislike the green in particular.",-31,2,"male"
"214","Patrick","Dark tone feels sad",-30,2,"male"
"215","Paul","I like the blue color in the center but that's it, the green is a gross color",-3,2,"male"
"216","Peter","I don't feel indifferent",4,2,"male"
"217","Richard","doctor's office art work, nice colors and not offensive",23,2,"male"
"218","Robert","The colors are what I like. It looks like a smiling face too.",32,2,"male"
"219","Ryan","Very simple and childish",40,2,"male"
"220","Samuel","i liked the bright colors",13,2,"male"
"221","Scott","looks like a child's artwork",-40,2,"male"
"222","Sean","looks like a bunch of gibberish",-39,2,"male"
"223","Seth","I think I see people sitting in lawn chairs in a circle watching an event. Not really sure so I rated it lower.",-35,2,"male"
"224","Shane","Feels like a playground or park vibe",27,2,"male"
"225","Shawn","The color choices and lines seem a bit sloppy?",-10,2,"male"
"226","Spencer","Kind of looks upside down, I need a focal point",-29,2,"male"
"227","Stephen","Colors mix nicely.",5,2,"male"
"228","Steven","I can't get past the fact that it looks like someone wearing a mask",-46,2,"male"
"229","Tanner","smilely face, soulful",11,2,"male"
"230","Taylor","Have now advanced from kindergarten to the first grade.",-5,2,"male"
"231","Thomas","My first thought was that it looks like a children's art project",-30,2,"male"
"232","Timothy","The contrasting colors are a bit harsh",-10,2,"male"
"233","Travis","I didn't like this it looked like a kindergardner painted it and the green was out of place.",-46,2,"male"
"234","Trevor","It looks like a little kids primary color picture",3,2,"male"
"235","Tristan","The color palette of this painting is for me displeasing and immature.",-30,2,"male"
"236","Tyler","Grim and overwhelming",-6,2,"male"
"237","Victor","It's interesting. The chunks of black here and there are nice",13,2,"male"
"238","Vincent","This reminds me of a peaceful day out alone shopping and spending some me time",41,2,"male"
"239","William","I like the colors",22,2,"male"
"240","Zachary","I am not a fan of the color story. I am confused by the piece and therefore do not like it.",-21,2,"male"
"241","Aaron","Definition of mediocre abstract art",-12,3,"male"
"242","Adam","Reminds me of a hot mess",-10,3,"male"
"243","Adrian","Angry red crayons, like a child throwing a tantrum. No thanks.",-10,3,"male"
"244","Alejandro","I like the abstract flowing lines. It lacks hard rigid marks and flow nicely into a piece of calamity.",32,3,"male"
"245","Alex","Ok, just a bunch of red lines and a grey smudge. Would pass this right by in a gallery",-12,3,"male"
"246","Alexander","Somewhere between a child's art and a poorly drawn battle map.",8,3,"male"
"247","Alexis","It looks like a child drawing",-29,3,"male"
"248","Andrew","It doesn't make me think of art",-20,3,"male"
"249","Angel","This gives me a negative feeling, like someone trying to scratch out their flaws. I see low self-esteem.",-20,3,"male"
"250","Anthony","This looks like something a child created in 5 minutes.",-50,3,"male"
"251","Antonio","The red makes me think of blood which makes me think of pain",-50,3,"male"
"252","Austin","It doesn't invoke any excitement",-21,3,"male"
"253","Benjamin","seems to be a lot of angry scribble.",-20,3,"male"
"254","Blake","painted by a 2 year old. cold and boring",-30,3,"male"
"255","Bradley","Marker gone wild?  Not sure what's going on here.",-21,3,"male"
"256","Brandon","Just scribbles. Not a fan.",-40,3,"male"
"257","Brendan","i really cant get it",-44,3,"male"
"258","Brett","Confusion and mayhem",-10,3,"male"
"259","Brian","this is a very nice emotion",27,3,"male"
"260","Bryan","Just no. I love red but this looks like blood splatter on a wall from a horrific killing.",-45,3,"male"
"261","Bryce","Scary. Looks like blood.",-45,3,"male"
"262","Caleb","Completely incomprehensible.",-33,3,"male"
"263","Cameron","kid scribbled on the wall again",-35,3,"male"
"264","Carlos","The composition keeps the eye moving, the colors are satisfying.",31,3,"male"
"265","Charles","I like that it feels kind of simple but still chaotic",6,3,"male"
"266","Chase","Looks like a bloody head with teeth.",-16,3,"male"
"267","Christian","sorry do not understand",-26,3,"male"
"268","Christopher","the red is impactful but the work overall doesn't say anything to me",-8,3,"male"
"269","Cody","Feels upset .......",-10,3,"male"
"270","Cole","Sharp peaks look like sharp teeth",-37,3,"male"
"271","Colton","looks like a kid scribbled with crayon",-35,3,"male"
"272","Connor","Shapes are interesting but color is overwhelming",5,3,"male"
"273","Corey","seems distressing. a blood scene",-3,3,"male"
"274","Dakota","wild scribbling, freedom, expression",40,3,"male"
"275","Dalton","Blood splatter and one black spot.",1,3,"male"
"276","Daniel","5 min scribble by a 3 year old",-46,3,"male"
"277","David","No clue what I'm looking. This just looks a series of scribbles in a box.",-20,3,"male"
"278","Derek","Looks messy and too much for my eyes",-35,3,"male"
"279","Devin","Scribbly a bit too much",-30,3,"male"
"280","Devon","good choice of color",12,3,"male"
"281","Dustin","Messy. Looks like a children's drawing being passed off as expensive art. Too much red.",-50,3,"male"
"282","Dylan","I could scribble on paper and mimic this",-48,3,"male"
"283","Edward","It looks like someone took a red sharpie and just scribbled angrily",-20,3,"male"
"284","Elijah","Somebody scribbled on a piece of paper",-35,3,"male"
"285","Eric","This piece makes me think it has a backstory or a reason which I like.",5,3,"male"
"286","Ethan","I usually don't like red. Red in this angry piece is very fitting.",19,3,"male"
"287","Evan","It feels like a half assed and failed imitation of Japanese signatures on old paintings",-22,3,"male"
"288","Gabriel","just scribbles, not pleasing",-30,3,"male"
"289","Garrett","I can't tell what this image is supposed to be it looks extremely ugly and color variety is boring.",-50,3,"male"
"290","Grant","It looks like the artist was trying too hard to make it chaotic and emotional.",-25,3,"male"
"291","Gregory","Looks like somebody squirted ketchup everywhere",-40,3,"male"
"292","Hunter","strong color, interesting negative shapes",21,3,"male"
"293","Ian","It just makes me think of blood splattered everywhere.",-31,3,"male"
"294","Isaac","It looks like scribbles.",-40,3,"male"
"295","Isaiah","I feel uncomfortable, like I am looking at a crime scene.",-17,3,"male"
"296","Jack","unique & stylized. interesting. another one I could keep staring at.",50,3,"male"
"297","Jacob","Don't get the scribbles.",-13,3,"male"
"298","Jake","This is angry and childish looking.",-49,3,"male"
"299","James","It's very plain",-20,3,"male"
"300","Jared","scattered and angry",-26,3,"male"
"301","Jason","Too much red; very bland",-26,3,"male"
"302","Jeffrey","Associates with blood and crime scene",-12,3,"male"
"303","Jeremy","seems too angry",-50,3,"male"
"304","Jesse","No substance or feeling to it",-20,3,"male"
"305","Jesus","I like the simplicity of it.",20,3,"male"
"306","John","Looks like someone spilled ketchup and forgot to clean it up",-30,3,"male"
"307","Jonathan","Something I'd paint when I'm mad. I feel that",20,3,"male"
"308","Jordan","Reminded me of blood or something bad",-21,3,"male"
"309","Jorge","This makes me feel vulnerable",-32,3,"male"
"310","Jose","Too much red! Reminds me of blood. I hate blood.",-34,3,"male"
"311","Joseph","Really have no idea what I'm looking at.",1,3,"male"
"312","Joshua","Looks like a Basquiat but just not my cup of tea.",-29,3,"male"
"313","Juan","It makes me think of just an angry scribble. There's no beauty to it for me.",-50,3,"male"
"314","Justin","I don't care for art that looks like it was just scribbled.",-19,3,"male"
"315","Kenneth","Reminds me of blood.",-28,3,"male"
"316","Kevin","That just looks like a mess..",-18,3,"male"
"317","Kyle","I don't really have a strong reaction to this one",0,3,"male"
"318","Logan","im just getting more agitated and less appreciative of art. I have absolutely no scale to base on",-34,3,"male"
"319","Lucas","Mysterious, remarkable.",30,3,"male"
"320","Luis","I dont really feel anything from this, i cant see or understand any of it",-20,3,"male"
"321","Luke","it makes me feel really angry",-20,3,"male"
"322","Malik","Unaure what the artist  was doing, needs context",11,3,"male"
"323","Marcus","Like the colors and energy of this work.",10,3,"male"
"324","Mark","I don't feel anything, it seems childish.",-25,3,"male"
"325","Mason","scribbles in red. 2 minute piece.",-30,3,"male"
"326","Matthew","Reminds of John Lenonn's art a bit.",27,3,"male"
"327","Michael","Looks like someone mentalyl unstable drew and is ready to go a a killing spree.",-50,3,"male"
"328","Miguel","Unfocused and rushed.",-28,3,"male"
"329","Mitchell","Anger, like something a serial killer may paint.",-30,3,"male"
"330","Nathan","Looks like it was painted with blood, which I'm aware is an art style, but it just looks messy.",-20,3,"male"
"331","Nathaniel","Just scribbles. People buy that?",-47,3,"male"
"332","Nicholas","Too angry and scribbly",-43,3,"male"
"333","Noah","I struggle to see the art",-20,3,"male"
"334","Patrick","Random use of red and looks scary",-50,3,"male"
"335","Paul","It looks like random scribbles by a child and not appealing",-38,3,"male"
"336","Peter","Looks like blood scribbled on walls",-20,3,"male"
"337","Richard","7th grade art, not much effort to do this.",-39,3,"male"
"338","Robert","I think of an angry child",-50,3,"male"
"339","Ryan","Looks like someone threw blood at a wall",-50,3,"male"
"340","Samuel","confusing taking over",-15,3,"male"
"341","Scott","I like that it's messy",14,3,"male"
"342","Sean","my response to the picture is a lot of red, danger,",-21,3,"male"
"343","Seth","I didn't feel the color choice when I first looked. I did however like the placement of the gray.",-28,3,"male"
"344","Shane","Too much red or blood",-28,3,"male"
"345","Shawn","Powerful lines but seems incomplete",-10,3,"male"
"346","Spencer","Scratchy scrawly all one color, looks like a mistake",-28,3,"male"
"347","Stephen","Don't see what the purpose is.",-31,3,"male"
"348","Steven","i don't like this, just looks like scribbles",-50,3,"male"
"349","Tanner","anger, blood, death",-24,3,"male"
"350","Taylor","Why kids with color crayons is called art is beyond me. People pay for this???",-40,3,"male"
"351","Thomas","Too messy and structure-less",-10,3,"male"
"352","Timothy","This makes me feel a bit disturbed",-35,3,"male"
"353","Travis","I hate this...just a scribble of red.",-50,3,"male"
"354","Trevor","looks more classic but i'm not a fan of the colors",7,3,"male"
"355","Tristan","i like the colors particulairly the contrast of foreground to background. Exciting and thoughtful.",10,3,"male"
"356","Tyler","This doesn't grab me. Perhaps the red is meant to be provocative; I find it gimmicky.",-9,3,"male"
"357","Victor","Again, looks like a child's work. I don't get these types of pieces. Too simple",-47,3,"male"
"358","Vincent","Iike this one it's a piece that I need to spend more time with to understand how i feel about it",20,3,"male"
"359","William","makes me think of anger",-33,3,"male"
"360","Zachary","Too red and chaotic. Not calming.",-41,3,"male"
"361","Aaron","It doesn't make me feel anything it just looks like a kid did it.",-30,4,"male"
"362","Adam","McDonald's French Fries.",-10,4,"male"
"363","Adrian","Looks like feces smeared on the canvas. I hate it.",-50,4,"male"
"364","Alejandro","Looks like finger nails from the Guinness world record book.",-30,4,"male"
"365","Alex","Looks like more paint smearing but at least there is structure",-5,4,"male"
"366","Alexander","Pretzel noodles.",7,4,"male"
"367","Alexis","The bold colors are exciting. It looks like a statue on someone's mantle.",18,4,"male"
"368","Andrew","Reminds me of a first place trophy",30,4,"male"
"369","Angel","I feel kind of guilty looking at this, like I'm receiving a reward I don't I deserve.",-10,4,"male"
"370","Anthony","Ugly and bland compared to the other pieces.",-33,4,"male"
"371","Antonio","Blah feeling, nothing",-8,4,"male"
"372","Austin","Like the color vibrancy",29,4,"male"
"373","Benjamin","I like the bold style.",10,4,"male"
"374","Blake","ugly puke yellow is cold and dark",-29,4,"male"
"375","Bradley","This looks like what happens when someone steps on a mustard packet.",-7,4,"male"
"376","Brandon","Really don't like this. Kindergarten art, sorry.",-50,4,"male"
"377","Brendan","just a scuffed hand",-15,4,"male"
"378","Brett","I just have no clue",26,4,"male"
"379","Brian","it reminds me of McDonalds, and not in a good way.",-34,4,"male"
"380","Bryan","McDonald's golden arches on steroids.",-20,4,"male"
"381","Bryce","Not very interesting to look at.",-34,4,"male"
"382","Caleb","Colors are horrendous, look like bodily fluids have been smeared.",-50,4,"male"
"383","Cameron","Looks like the roomba got into dog poop",-30,4,"male"
"384","Carlos","Movement. Snakes. Hair. The uncertainty makes my eye return.",21,4,"male"
"385","Charles","It's ok, theres nothing that draws me away from it I guess",0,4,"male"
"386","Chase","It looks like smeared poop.",-27,4,"male"
"387","Christian","no sorry i can't really understand",-18,4,"male"
"388","Christopher","too many red/yellow shades, its impact without a reason",-27,4,"male"
"389","Cody","Interesting but maybe a little creepy",0,4,"male"
"390","Cole","Fingerpaint of a hand?",-30,4,"male"
"391","Colton","I really don't like the colors",-26,4,"male"
"392","Connor","Seems simplistic",-8,4,"male"
"393","Corey","doesn't do anything for me",-4,4,"male"
"394","Dakota","spontaneous, without hesitation",22,4,"male"
"395","Dalton","looks like an award from an award show.",22,4,"male"
"396","Daniel","Better version of a 7 year old who got lucky",-23,4,"male"
"397","David","I like the design. It can be interpreted in various ways, such as a hand of horror or still piece.",15,4,"male"
"398","Derek","A bit too plain for my tastes",-10,4,"male"
"399","Devin","Not impressed really",-20,4,"male"
"400","Devon","heart symbol - this tells a story of hidden love",30,4,"male"
"401","Dustin","Warm colors, but too random. I feel like I'm seeing something mangled. It is unpleasant.",-30,4,"male"
"402","Dylan","This artwork looks like a child did it",-41,4,"male"
"403","Edward","It reminds me of something a kid would make for their parents",13,4,"male"
"404","Elijah","Looks like a hand, not very impressed",-22,4,"male"
"405","Eric","This piece catches my eye, but it's strange to me.",10,4,"male"
"406","Ethan","This looks like a child got into his diaper.",-46,4,"male"
"407","Evan","I'm disappointed that such a simple piece, with very little effort spent, could be grouped with other detailed pieces",-31,4,"male"
"408","Gabriel","this is terrible",-49,4,"male"
"409","Garrett","I think that this picture is too boring in terms of color and it looks ugly.",-41,4,"male"
"410","Grant","This elicits no reaction in me.",0,4,"male"
"411","Gregory","Mustard yellow doesn't do it for me",-25,4,"male"
"412","Hunter","appealing warm palette",6,4,"male"
"413","Ian","I just don't understand this one at all, I do not like it",-43,4,"male"
"414","Isaac","The colors remind me of McDonalds.",-41,4,"male"
"415","Isaiah","The sickly looking colors make me feel very uncomfortable.",-35,4,"male"
"416","Jack","creepy, looks like a deformed hand, but the background is pretty",5,4,"male"
"417","Jacob","Looks like they just smothered on some paint and called it a day.",-17,4,"male"
"418","Jake","This is ugly in color and in terms of the shape on it.",-32,4,"male"
"419","James","Really don't care for the yellowish brown color in the center.",-19,4,"male"
"420","Jared","it looks like a deformed hand",-9,4,"male"
"421","Jason","I don't understand this at all",3,4,"male"
"422","Jeffrey","Easy and relaxing",23,4,"male"
"423","Jeremy","the colors are calming",31,4,"male"
"424","Jesse","I like the warmth in the colors. Its reassuring.",9,4,"male"
"425","Jesus","I don't enjoy the colors, or texture, it seems like mustard",-23,4,"male"
"426","John","Extremely simple and like not alot of time was put into it",-20,4,"male"
"427","Jonathan","Mcdonald's french fries :(",-40,4,"male"
"428","Jordan","A hand reaching for something it cannot obtain",-9,4,"male"
"429","Jorge","creepy as it looks like fingernails",-23,4,"male"
"430","Jose","I like how many different ways there are to interpret this.",27,4,"male"
"431","Joseph","It's okay, I guess. Nothing much either way.",5,4,"male"
"432","Joshua","looks very rudimentary and too simple.",-14,4,"male"
